epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.967,2.5747,1.95041,2.68846,0.90575,0.91899,0.94952,0.61931,2.45729,1.19476,2.55003,0.000331995,0.000331995,0.000331995
2,220.985,2.53452,1.7775,2.61387,0.91897,0.88816,0.94852,0.63264,2.53345,1.19405,2.61369,0.000658741,0.000658741,0.000658741
3,327.756,2.5436,1.83905,2.63068,0.91654,0.85629,0.92689,0.61247,2.4029,1.21431,2.57796,0.000978888,0.000978888,0.000978888
4,434.994,2.58974,1.8693,2.64741,0.87352,0.86712,0.93183,0.61598,2.47654,1.4129,2.6105,0.0009703,0.0009703,0.0009703
5,541.307,2.57536,1.83489,2.63463,0.92116,0.85904,0.93715,0.5954,2.58267,1.42934,2.6591,0.0009604,0.0009604,0.0009604
6,647.663,2.57038,1.8026,2.62507,0.91504,0.87013,0.93662,0.59918,2.62013,1.35766,2.7029,0.0009505,0.0009505,0.0009505
7,754.354,2.51637,1.71191,2.60507,0.90725,0.88988,0.93834,0.60049,2.65925,1.37749,2.77131,0.0009406,0.0009406,0.0009406
8,860.856,2.50343,1.71203,2.60084,0.89156,0.88832,0.94245,0.60664,2.57767,1.28654,2.63952,0.0009307,0.0009307,0.0009307
9,967.245,2.46132,1.63222,2.56269,0.91333,0.88258,0.9418,0.62087,2.55305,1.38519,2.61465,0.0009208,0.0009208,0.0009208
10,1073.58,2.51312,1.66966,2.58304,0.87975,0.87545,0.92802,0.61775,2.49091,1.5576,2.59129,0.0009109,0.0009109,0.0009109
11,1180.32,2.44575,1.6103,2.55402,0.89906,0.9001,0.94361,0.63208,2.58173,1.3979,2.70619,0.000901,0.000901,0.000901
12,1287.08,2.47619,1.57637,2.56913,0.8978,0.87505,0.9454,0.62614,2.58313,1.33477,2.63411,0.0008911,0.0008911,0.0008911
13,1394.01,2.45615,1.60389,2.54382,0.87968,0.89954,0.93803,0.62432,2.50691,1.45356,2.5929,0.0008812,0.0008812,0.0008812
14,1501.3,2.42091,1.57745,2.55281,0.9058,0.87296,0.93877,0.6194,2.53574,1.36284,2.6839,0.0008713,0.0008713,0.0008713
15,1607.51,2.39366,1.50539,2.52812,0.91641,0.88024,0.94435,0.61967,2.56812,1.40204,2.6856,0.0008614,0.0008614,0.0008614
16,1713.87,2.39696,1.53065,2.51917,0.89693,0.89903,0.94581,0.6456,2.43758,1.374,2.5384,0.0008515,0.0008515,0.0008515
17,1821.24,2.37976,1.49298,2.50133,0.88861,0.92211,0.95396,0.63014,2.50637,1.23796,2.60508,0.0008416,0.0008416,0.0008416
18,1927.09,2.33432,1.44753,2.48554,0.9361,0.90983,0.9635,0.65633,2.4858,1.08942,2.58136,0.0008317,0.0008317,0.0008317
19,2033.11,2.33711,1.4328,2.47781,0.91412,0.91019,0.95545,0.62938,2.67121,1.20489,2.69564,0.0008218,0.0008218,0.0008218
20,2139.87,2.3158,1.44004,2.47221,0.9313,0.91774,0.9692,0.66126,2.45951,1.08741,2.55901,0.0008119,0.0008119,0.0008119
21,2246.3,2.33454,1.42378,2.47542,0.91289,0.90362,0.94817,0.62766,2.59175,1.27768,2.66861,0.000802,0.000802,0.000802
22,2352.24,2.29107,1.37148,2.4575,0.93295,0.91796,0.96595,0.64884,2.55277,1.14082,2.64453,0.0007921,0.0007921,0.0007921
23,2458.5,2.28697,1.36968,2.45532,0.9057,0.86841,0.92605,0.60963,2.63929,1.52493,2.67366,0.0007822,0.0007822,0.0007822
24,2565.28,2.28621,1.34232,2.44808,0.94295,0.93713,0.97137,0.65195,2.50491,1.02857,2.57625,0.0007723,0.0007723,0.0007723
25,2671.24,2.26466,1.36903,2.44067,0.94247,0.90513,0.96681,0.65298,2.47473,1.05526,2.56652,0.0007624,0.0007624,0.0007624
26,2777.36,2.28633,1.3703,2.44025,0.93839,0.90277,0.95684,0.63915,2.58375,1.18887,2.66631,0.0007525,0.0007525,0.0007525
27,2883.51,2.25589,1.32983,2.42584,0.9251,0.91552,0.95986,0.64806,2.51098,1.08843,2.64951,0.0007426,0.0007426,0.0007426
28,2990.11,2.24624,1.33759,2.43139,0.93919,0.9141,0.96784,0.65681,2.49782,1.1324,2.62811,0.0007327,0.0007327,0.0007327
29,3096.55,2.21836,1.32547,2.42884,0.94324,0.93169,0.96758,0.66447,2.51929,1.06989,2.59933,0.0007228,0.0007228,0.0007228
30,3203.21,2.23259,1.31608,2.44049,0.92427,0.91923,0.95879,0.65599,2.49033,1.1339,2.64064,0.0007129,0.0007129,0.0007129
31,3309.7,2.1942,1.29622,2.41117,0.90983,0.91621,0.95387,0.65003,2.48595,1.27859,2.60613,0.000703,0.000703,0.000703
32,3416.56,2.18953,1.29405,2.40954,0.93566,0.91142,0.96332,0.65117,2.57664,1.10682,2.61265,0.0006931,0.0006931,0.0006931
33,3522.7,2.17733,1.26067,2.39931,0.94442,0.93558,0.97184,0.65484,2.58514,1.00739,2.64236,0.0006832,0.0006832,0.0006832
34,3628.92,2.15835,1.26713,2.40188,0.94482,0.92163,0.9676,0.65497,2.51969,1.05761,2.67549,0.0006733,0.0006733,0.0006733
35,3735.63,2.15775,1.21483,2.39748,0.94368,0.92821,0.96847,0.66266,2.44841,0.9807,2.59448,0.0006634,0.0006634,0.0006634
36,3841.69,2.14351,1.24095,2.38252,0.90756,0.91756,0.96192,0.66007,2.48119,1.11369,2.55086,0.0006535,0.0006535,0.0006535
37,3947.86,2.13657,1.22559,2.37823,0.93073,0.91399,0.9612,0.65101,2.55414,1.10678,2.61091,0.0006436,0.0006436,0.0006436
38,4054.08,2.14604,1.22227,2.36841,0.93403,0.92406,0.96061,0.64115,2.53776,1.06208,2.61554,0.0006337,0.0006337,0.0006337
39,4160.44,2.10625,1.22336,2.36567,0.93942,0.92759,0.96718,0.65367,2.5128,1.05659,2.59947,0.0006238,0.0006238,0.0006238
40,4266.66,2.11153,1.18015,2.35556,0.95201,0.91229,0.96651,0.64683,2.5771,1.13789,2.61759,0.0006139,0.0006139,0.0006139
41,4372.98,2.08204,1.19128,2.33901,0.9427,0.93277,0.97325,0.65976,2.5867,1.14111,2.68504,0.000604,0.000604,0.000604
42,4481.07,2.07601,1.16127,2.3222,0.94745,0.94268,0.97438,0.66296,2.50929,0.97979,2.58025,0.0005941,0.0005941,0.0005941
43,4587.23,2.07018,1.17412,2.32721,0.95373,0.93451,0.97192,0.66975,2.52166,0.97798,2.58465,0.0005842,0.0005842,0.0005842
44,4693.25,2.07033,1.16476,2.32726,0.94096,0.92974,0.9686,0.66856,2.44534,1.01392,2.58036,0.0005743,0.0005743,0.0005743
45,4799.24,2.03632,1.14563,2.30464,0.94949,0.93052,0.97207,0.66674,2.45237,0.96606,2.48592,0.0005644,0.0005644,0.0005644
46,4905.47,2.04479,1.1169,2.30311,0.95108,0.93494,0.96794,0.6643,2.47752,1.02105,2.52373,0.0005545,0.0005545,0.0005545
47,5011.18,2.03855,1.13065,2.30611,0.93332,0.92723,0.96392,0.66451,2.48725,1.08753,2.55985,0.0005446,0.0005446,0.0005446
48,5116.97,2.01503,1.12552,2.3034,0.93492,0.91635,0.95398,0.65482,2.57304,1.05704,2.62769,0.0005347,0.0005347,0.0005347
49,5222.43,2.01241,1.14183,2.29275,0.93444,0.92531,0.96542,0.66686,2.49413,1.04609,2.58852,0.0005248,0.0005248,0.0005248
50,5328.94,2.0064,1.11505,2.28604,0.94426,0.93155,0.9644,0.65403,2.56088,1.06713,2.60511,0.0005149,0.0005149,0.0005149
